site,date,start_hour,value,variable,units,quality,prelim,name 
3135,2015-01-09,11,0.0501,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-09,12,0.0380,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-09,13,0.0158,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-09,14,0.0129,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-09,15,0.0126,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-09,16,0.0165,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-09,17,0.0400,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-09,18,0.0397,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-09,19,0.0374,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-09,20,0.0351,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-09,21,0.0329,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-09,22,0.0316,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-09,23,0.0309,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-10,0,0.0293,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-10,1,0.0285,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-10,2,0.0240,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-10,3,0.0230,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-10,4,0.0235,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-10,5,0.0221,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-10,6,0.0166,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-10,7,0.0186,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-10,8,0.0241,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-10,9,0.0182,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-10,10,0.0163,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-10,11,0.0119,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-10,12,0.0088,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-10,13,0.0090,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-10,14,0.0069,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-10,15,0.0075,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-10,16,0.0104,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-10,17,0.0301,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-10,18,0.0356,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-10,19,0.0307,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-10,20,0.0205,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-10,21,0.0158,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-10,22,0.0224,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-10,23,0.0205,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-11,0,0.0134,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-11,1,0.0166,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
