site,date,start_hour,value,variable,units,quality,prelim,name 
3135,2021-01-09,11,0.1250,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-09,12,0.1170,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-09,13,0.1350,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-09,14,0.1150,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-09,15,0.1470,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-09,16,0.1460,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-09,17,0.2490,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-09,18,0.1980,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-09,19,0.2100,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-09,20,0.6390,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-09,21,0.3710,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-09,22,0.3040,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-09,23,0.2930,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-10,0,0.1680,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-10,1,0.1560,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-10,2,0.1410,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-10,3,0.1560,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-10,5,0.2170,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-10,6,0.2410,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-10,7,0.2030,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-10,8,0.1840,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-10,9,0.1420,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-10,10,0.1260,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-10,11,0.1410,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-10,12,0.1540,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-10,13,0.1400,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
